uniqid,lat,long,timestamp
479,28.6976,-81.3605,11/3/17 11:28
480,29.9385,-95.3979,11/3/17 10:23
481,33.695,-117.8,11/3/17 11:07
482,40.4968,-79.845,11/3/17 11:06
483,35.565,-97.5152,11/3/17 10:18
484,42.5224,-87.9468,11/3/17 10:17
485,30.241,-92.6628,11/3/17 10:17
486,29.5296,-98.5619,11/3/17 10:14
487,32.5171,-94.8515,11/3/17 10:13
488,33.1726,-117.253,11/3/17 10:04
489,30.2375,-97.752,11/3/17 9:47
490,35.4618,-83.3153,11/3/17 9:39
491,39.3769,-80.3104,11/2/17 15:26
492,32.9523,-80.1656,11/3/17 9:19
493,29.0542,-81.303,11/3/17 9:11
494,39.8877,-86.1214,11/3/17 9:04
495,30.2927,-81.7822,11/3/17 8:42
496,40.5353,-78.4021,11/3/17 8:26
497,34.1533,-118.258,11/2/17 23:13
498,34.0697,-117.139,11/2/17 23:02
499,42.1887,-87.8019,11/2/17 19:30
500,41.8914,-91.6741,11/2/17 19:50
