ZIP,INCOME
06131,80315
06132,36145
06133,64300
06134,34410
06137,118773
06138,52729
06140,24080
06141,24080
06142,24080
06143,24080
06144,24080
06145,24080
06146,24080
06147,24080
06150,24080
06151,24080
06152,74107
06153,97803
06154,31920
06155,31920
06156,
06160,
06161,78371
06167,64300
06176,83048
06180,117038
06183,83048
06199,66494
06226,32849
06230,87244
06231,113922
06232,100724
06233,70489
06234,74327
06235,88031
06237,92981
06238,88967
06239,52530
06241,70489
06242,80469
06243,
06244,91582
06245,62398
06246,62398
06247,74436
06248,108529
06249,88125
06250,81860
06251,51398
06254,93438
06255,62398
06256,54057
06258,87244
06259,87244
06260,52449
06262,57889
06263,43427
06264,84063
06265,72237
06266,56420
06267,87244
06268,51398
06269,
06277,76867
06278,77619
06279,72237
06280,62542
06281,91582
06282,50288
06320,35400
06330,67083
06331,81496
06332,
06333,112500
06334,84138
06335,91152
06336,
06338,80725
06339,80725
06340,60649
06349,60649
06350,72604
06351,65904
06353,
06354,60344
06355,88533
06357,75466
06359,72880
06360,52275
06365,69439
06370,90610
06371,87904
06372,88533
06373,38869
06374,68205
06375,89677
06376,
06377,71958
06378,96100
06379,64267
06380,43084
06382,61044
06383,67083
06384,74310
06385,75702
06387,36029
06388,88533
06389,
06390,152652
06401,43336
06403,84570
06404,113158
06405,71678
06408,108432
06409,
06410,108432
06411,108432
06412,76648
06413,73804
06414,94167
06415,98787
06416,83739
06417,69861
06418,55398
06419,103295
06420,105000
06422,114491
06423,79318
06424,96146
06426,100536
06437,102199
06438,88432
06439,87904
06440,113158
06441,105526
06442,76739
06443,105673
06444,
06447,103276
06450,58361
06451,51926
06455,109706
06456,
06457,63828
06459,63828
06460,80776
06461,85417
06467,104750
06468,113333
06469,81615
06470,113158
06471,84385
06472,85929
06473,94344
06474,98787
06475,75237
06477,106475
06478,99311
06479,89200
06480,81589
06481,69464
06482,105426
06483,79734
06484,87277
06487,85068
06488,85068
06489,87001
06491,113333
06492,75997
06493,75997
06494,75997
06495,75997
06498,93309
06501,50761
06502,50761
06503,50761
06504,50761
06505,50761
06506,38224
06507,50761
06508,50761
06509,50761
06510,50761
06511,38224
06512,60522
06513,37641
06514,70013
06515,51125
06516,50831
06517,80113
06518,71549
06519,24692
06520,38224
06521,50761
06524,106058
06525,136786
06530,38224
06531,38224
06532,38224
06533,38224
06534,38224
06535,38224
06536,38224
06537,50831
06538,50831
06540,38224
06601,32851
06602,32851
